CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,00:10:44:442,327829,226766,345,233,1650,0,0,0,2
2,00:10:44:442,328402,224816,408,228,1673,0,0,0,2
3,00:10:44:442,331081,229219,450,187,1654,0,0,0,0
1,00:10:44:642,120005262,183150736,12374,86697,933573,0,0,0,2
2,00:10:44:642,120006219,152425438,508737,76744,2569009,0,0,0,5
3,00:10:44:642,120005715,265847657,214,62,1643,0,0,0,0
1,00:10:44:843,120003244,173176294,91239,99555,1191947,0,0,0,5
2,00:10:44:843,120003797,182214938,416729,93297,2092100,0,0,0,2
3,00:10:44:843,120002810,265878146,35,17,1295,0,0,0,0
1,00:10:45:043,120003906,210420070,413015,91739,1940790,0,0,0,2
2,00:10:45:043,120003563,165718424,83526,86143,1262566,0,0,0,2
3,00:10:45:043,120002725,265883970,21,7,1259,0,0,0,0
1,00:10:45:244,120003520,196148576,84372,86577,1043327,0,0,0,2
2,00:10:45:244,120003524,162732385,165938,87161,1506613,0,0,0,2
3,00:10:45:244,328142,223602,350,232,1710,0,0,0,0
1,00:10:45:444,120003869,164250479,166763,83450,1516856,0,0,0,2
2,00:10:45:444,120003696,181409460,84695,85949,1157707,0,0,0,2
3,00:10:45:444,120005129,20827866,211757,38939,785883,0,0,0,0
1,00:10:45:644,120003498,167648662,95,90220,999385,0,0,0,2
2,00:10:45:644,120003479,178736112,167675,87524,1419315,0,0,0,2
3,00:10:45:644,120004144,16691743,83497,12461,359215,0,0,0,0
1,00:10:45:845,120003313,168391587,84099,82813,1241973,0,0,0,2
2,00:10:45:845,120003303,168250190,670,95418,977845,0,0,0,5
3,00:10:45:845,120003710,18578238,132615,46703,540966,0,0,0,0
1,00:10:46:045,120003554,197110285,286,98233,786091,0,0,0,5
2,00:10:46:045,120003639,181819711,83805,85610,1149263,0,0,0,2
3,00:10:46:045,120004544,34869131,146790,64005,750032,0,0,0,0
1,00:10:46:246,120003180,183916118,244,89639,884749,0,1,0,2
2,00:10:46:246,120003223,168614274,153,85100,995369,0,1,0,2
3,00:10:46:246,120002751,265898989,22,6,1268,0,1,0,0
1,00:10:46:446,120012314,166477732,83243,87280,1250315,0,1,0,5
2,00:10:46:446,120012066,181004377,83792,85771,1161994,0,1,0,5
3,00:10:46:446,120004170,92415655,287834,1163775,1653395,0,0,0,0
1,00:10:46:647,120011635,176710453,249193,93001,1652797,0,1,0,2
2,00:10:46:647,120011468,221364788,165280,82959,1119129,0,1,0,1
3,00:10:46:647,120004802,79386657,654658,1091505,3158186,0,0,0,0
1,00:10:46:847,120011820,192526785,166014,82950,1324945,0,1,0,2
2,00:10:46:847,120011752,179814601,247755,88302,1652282,0,1,0,2
3,00:10:46:847,120004969,69732350,544448,1021177,2484280,0,0,0,0
1,00:10:47:047,120011739,200447300,165963,87007,1246497,0,1,0,2
2,00:10:47:047,120011531,162634754,165694,87301,1507789,0,1,0,2
3,00:10:47:047,120004769,76005182,693827,1352494,2589357,0,1,0,0
1,00:10:47:248,120011681,174901429,165526,88206,1438286,0,1,0,2
2,00:10:47:248,120011988,185857730,889,86047,877069,0,1,0,5
3,00:10:47:248,120013664,93110549,564924,1886105,2825275,0,1,0,0
1,00:10:47:448,120011263,170636898,247878,89220,1704901,0,1,0,5
2,00:10:47:448,120011892,208427028,165880,88978,1206572,0,1,0,2
3,00:10:47:448,120013389,110481670,356646,2444682,2510521,0,1,0,0
1,00:10:47:649,120011774,220501367,329215,85549,1611546,0,1,0,5
2,00:10:47:649,120011278,162791201,166622,92275,1501266,0,1,0,2
3,00:10:47:649,120013372,109563736,403686,2132956,2786531,0,1,0,0
1,00:10:47:849,120011324,181149995,330013,90357,1885474,0,1,0,5
2,00:10:47:849,120011249,178608303,166043,83558,1412459,0,1,0,2
3,00:10:47:849,120013733,108495046,343404,2121295,2703074,0,1,0,0
1,00:10:48:050,120011334,192087837,83213,83021,1087716,0,1,0,2
2,00:10:48:050,120011387,199787094,1407,94240,774508,0,1,0,2
3,00:10:48:050,120013653,108665356,403704,2154067,2851314,0,1,0,0
1,00:10:48:250,120011778,173015251,897,96686,952773,0,1,0,2
2,00:10:48:250,120011652,166485188,83417,80629,1258440,0,1,0,2
3,00:10:48:250,120012965,113882115,259095,2569949,2116385,0,1,0,0
1,00:10:48:451,120011303,168563663,95,83445,999839,0,1,0,2
2,00:10:48:451,120011286,184015315,596,92800,877561,0,1,0,2
3,00:10:48:451,120013180,111403613,345330,2339907,2562955,0,1,0,0
1,00:10:48:651,120011473,194038491,166098,91721,1307400,0,1,0,5
2,00:10:48:651,120011442,162518204,165597,88072,1526126,0,1,0,5
3,00:10:48:651,120012840,114250386,303358,2377822,2349268,0,1,0,0
1,00:10:48:851,120012100,212278013,82952,81704,951135,0,1,0,1
2,00:10:48:851,120011970,186204193,83376,87135,1114110,0,1,0,2
3,00:10:48:851,92693402,81670081,358740,1301713,2492917,0,1,0,0
1,00:10:49:052,120011733,204593797,412402,95620,1985625,0,1,0,2
2,00:10:49:052,120011744,210259018,1193,88436,707327,0,1,0,2
3,00:10:49:052,15074,16423,68,70,362,0,1,0,0
1,00:10:49:252,120011521,180997607,330337,83579,1892463,0,1,0,5
2,00:10:49:252,120011057,198819712,248739,83125,1533088,0,1,0,5
3,00:10:49:252,94155,42096,917,533,4980,0,1,1,0
1,00:10:49:453,120011320,221842638,329200,90282,1607893,0,1,0,2
2,00:10:49:453,120011167,236567022,170,95522,515294,0,1,0,2
3,00:10:49:453,14205,16424,31,47,224,0,1,0,0
1,00:10:49:653,120011082,206268072,83724,89943,983575,0,1,0,2
2,00:10:49:653,120010871,210412879,1140,88654,707819,0,1,0,2
3,00:10:49:653,39115,29700,90,182,1759,0,1,0,0
1,00:10:49:854,120011069,206731668,83404,86894,987576,0,1,0,2
2,00:10:49:854,120011178,189627918,83943,91167,1088079,0,1,0,5
3,00:10:49:854,12911,16421,22,32,187,0,1,0,0
1,00:10:50:054,120011066,182363411,331146,89244,1886751,0,1,0,5
2,00:10:50:054,120011275,188259632,248276,77700,1607171,0,1,0,5
3,00:10:50:054,11654,16418,0,24,27,0,1,0,0
1,00:10:50:254,120011269,176869357,247594,84739,1681066,0,1,0,5
2,00:10:50:254,120011496,200734975,83647,94857,1003434,0,1,0,2
3,00:10:50:254,150657,59331,814,665,6004,0,1,0,0
1,00:10:50:455,120011038,191919241,440,81387,843118,0,1,0,2
2,00:10:50:455,120011900,168434854,12,83485,1000344,0,1,0,2
3,00:10:50:455,13317,16424,30,34,243,0,1,0,0
1,00:10:50:655,120010958,179409993,83422,89802,1167838,0,1,0,5
2,00:10:50:655,120010870,167747946,13,88539,994560,0,1,0,2
3,00:10:50:655,37712,29731,30,140,1633,0,1,50,0
1,00:10:50:856,120011100,180662682,494637,93866,2379159,0,1,0,5
2,00:10:50:856,120011011,163343136,165458,78521,1528127,0,1,0,2
3,00:10:50:856,12986,16421,26,30,185,0,2,97,0
1,00:10:51:056,120011811,185272137,83651,87101,1126764,0,1,0,2
2,00:10:51:056,120011289,196819425,83930,88593,1044920,0,1,0,5
3,00:10:51:056,11552,16419,1,22,30,0,2,96,0
1,00:10:51:257,120011423,183539112,121,86582,893457,0,1,0,5
2,00:10:51:257,120011280,181497437,83475,84881,1158669,0,1,0,2
3,00:10:51:257,125261,66387,610,641,7132,0,1,89,0
1,00:10:51:457,120011114,201840841,165956,91806,1249901,0,1,0,2
2,00:10:51:457,120011378,181647374,83703,85472,1160191,0,1,0,5
3,00:10:51:457,41813,29372,112,163,1988,0,1,87,0
1,00:10:51:657,120011777,198943256,175251,85999,1275546,0,1,0,2
2,00:10:51:657,120011640,207077175,166276,88668,1174949,0,1,0,2
3,00:10:51:657,51021,35904,108,226,2435,0,2,95,0
1,00:10:51:858,120011280,194406394,319820,93959,1760887,0,1,0,2
2,00:10:51:858,120011546,196102907,83117,87176,1042805,0,1,0,2
3,00:10:51:858,12592,16419,5,33,187,0,2,97,0
1,00:10:52:058,120011722,191105077,166623,90097,1341846,0,1,0,2
2,00:10:52:058,120011116,162423370,248829,96911,1752902,0,1,0,2
3,00:10:52:058,11700,16419,2,23,31,0,2,96,0
1,00:10:52:259,120011311,186929057,165984,84343,1357965,0,1,0,5
2,00:10:52:259,120011525,166488257,83171,83872,1248025,0,1,0,2
3,00:10:52:259,70362,46399,114,324,3680,0,2,98,0
1,00:10:52:459,120011437,200184857,329876,91509,1758379,0,1,0,2
2,00:10:52:459,120011305,167726710,109,88919,990144,0,1,0,2
3,00:10:52:459,38753,29317,59,134,1844,0,2,99,0
1,00:10:52:660,120011297,183841751,499,89735,886048,0,1,0,2
2,00:10:52:660,120010985,166158870,83087,82493,1264325,0,1,0,2
3,00:10:52:660,46261,33807,75,199,2302,0,2,99,0
1,00:10:52:860,120011003,202896568,194,92874,739662,0,1,0,5
2,00:10:52:860,120011381,190645184,320315,84481,1801108,0,1,0,2
3,00:10:52:860,12757,16421,17,30,193,0,2,99,0
1,00:10:53:061,120011830,205029914,165419,86693,1207632,0,1,0,2
2,00:10:53:061,120011488,175361725,176871,86496,1423280,0,1,0,5
3,00:10:53:061,11667,16419,2,23,40,0,2,99,0
1,00:10:53:261,120011246,167745041,41,91476,990615,0,1,0,5
2,00:10:53:261,120011439,200412146,83941,92936,1009885,0,1,0,2
3,00:10:53:261,37597,29244,39,99,1529,0,2,99,0
1,00:10:53:461,120011154,197483665,83590,89265,1036194,0,1,0,5
2,00:10:53:461,120011037,202210822,166335,89655,1254165,0,1,0,2
3,00:10:53:461,37727,29311,34,113,1731,0,2,99,0
1,00:10:53:662,120011087,217104943,247391,88431,1400493,0,1,0,5
2,00:10:53:662,120011262,172818763,1076,96809,951657,0,1,0,5
3,00:10:53:662,12603,16419,18,28,197,0,2,96,0
1,00:10:53:862,120011356,236745624,19,92830,517033,0,1,0,2
2,00:10:53:862,120011677,192914302,248201,84830,1568264,0,1,0,2
3,00:10:53:862,43241,33723,46,160,2030,0,2,98,0
1,00:10:54:063,120011029,169308639,977,95874,977765,0,1,0,5
2,00:10:54:063,120011086,161731581,247554,81739,1777624,0,1,0,5
3,00:10:54:063,12905,16421,18,28,195,0,2,98,0
1,00:10:54:263,120011304,181997103,83425,85981,1147166,0,1,0,2
2,00:10:54:263,120010979,215235814,597,94771,659073,0,1,0,2
3,00:10:54:263,67214,46412,72,241,3447,0,2,99,0
1,00:10:54:464,120011289,166426801,82928,79150,1267432,0,1,0,5
2,00:10:54:464,120011025,183876626,136,92323,877938,0,1,0,1
3,00:10:54:464,39094,29316,42,115,1789,0,2,99,0
1,00:10:54:664,120011385,230234497,557,94207,562707,0,1,0,2
2,00:10:54:664,120011285,190495278,248517,81563,1589986,0,1,0,2
3,00:10:54:664,12696,16424,16,24,169,0,2,99,0
1,00:10:54:864,120011429,180594424,165641,78806,1411703,0,1,0,5
2,00:10:54:864,120011452,194623897,249599,101327,1519739,0,1,0,5
3,00:10:54:864,42422,33801,37,132,2018,0,2,99,0
1,00:10:55:065,120011013,214471543,962,93657,674249,0,1,0,2
2,00:10:55:065,120011579,208485997,82959,84634,977127,0,1,0,5
3,00:10:55:065,13001,16421,19,29,198,0,2,99,0
1,00:10:55:265,120011496,162978186,165221,95492,1510882,0,1,0,5
2,00:10:55:265,120011123,189714865,494492,95209,2317540,0,1,0,2
3,00:10:55:265,37242,29245,39,101,1574,0,2,99,0
1,00:10:55:466,120011343,207157581,165197,86396,1197401,0,1,0,5
2,00:10:55:466,120011260,176807714,166120,89119,1394482,0,1,0,2
3,00:10:55:466,38504,28975,55,106,1726,0,2,99,0
1,00:10:55:666,120011403,198460013,248261,90307,1524423,0,1,0,5
2,00:10:55:666,120011024,173480528,412,87640,947325,0,1,0,2
3,00:10:55:666,12840,16419,27,24,197,0,2,99,0
1,00:10:55:867,120011358,221431145,248053,93354,1371375,0,1,0,2
2,00:10:55:867,120011144,182755637,208,91681,885737,0,1,0,2
3,00:10:55:867,42435,33402,38,125,2007,0,2,99,0
1,00:10:56:067,120011147,166291156,83121,83118,1262035,0,1,0,2
2,00:10:56:067,120011068,190800576,167194,90770,1330455,0,1,0,2
3,00:10:56:067,12827,16421,22,21,201,0,2,99,0
1,00:10:56:267,120011178,156010145,494801,78119,2562861,0,1,0,5
2,00:10:56:267,120011303,168512146,186,80336,994327,0,1,0,2
3,00:10:56:267,73743,49706,68,273,3790,0,2,99,0
1,00:10:56:468,120011402,214705768,621,93778,675378,0,1,0,2
2,00:10:56:468,120011143,162785719,165410,90178,1525789,0,1,0,2
3,00:10:56:468,40322,29317,39,101,1844,0,2,99,0
1,00:10:56:668,120010959,199462329,40,88337,770621,0,1,0,2
2,00:10:56:668,120011469,163943239,165306,88076,1512354,0,1,0,2
3,00:10:56:668,12727,16424,24,26,189,0,2,99,0
1,00:10:56:869,120011301,184197094,176,89673,884075,0,1,0,5
2,00:10:56:869,120011152,179601625,346,84696,921981,0,1,0,2
3,00:10:56:869,42502,33776,31,139,2041,0,2,99,0
1,00:10:57:069,120011225,228883871,83365,94143,810789,0,1,0,5
2,00:10:57:069,120011209,185362650,83700,95546,1116187,0,1,0,2
3,00:10:57:069,12321,16424,1,24,186,0,2,99,0
1,00:10:57:270,120010958,187283813,519,85106,868478,0,1,0,2
2,00:10:57:270,120011600,181326395,83486,85633,1154846,0,1,0,2
3,00:10:57:270,11545,16425,1,20,40,0,2,99,0
1,00:10:57:470,120011407,179747394,82840,85275,1166447,0,1,0,5
2,00:10:57:470,120011211,183674719,457,89482,887368,0,1,0,2
3,00:10:57:470,85254,53082,238,407,4804,0,2,96,0
1,00:10:57:671,120011856,227219941,83451,96561,830812,0,1,0,5
2,00:10:57:671,120011491,170882028,83715,80811,1228411,0,1,0,5
3,00:10:57:671,12915,16424,22,26,203,0,2,99,0
1,00:10:57:871,120011394,215622570,223,88403,668132,0,1,0,5
2,00:10:57:871,120011374,202221276,165957,89972,1254112,0,1,0,2
3,00:10:57:871,44172,33735,51,159,2081,0,2,98,0
1,00:10:58:071,120011402,224224571,248095,92363,1345061,0,1,0,2
2,00:10:58:071,120011440,170895808,150,93958,968605,0,1,0,2
3,00:10:58:071,12998,16421,18,28,201,0,2,98,0
1,00:10:58:272,120011565,167893577,84,89963,999168,0,1,0,5
2,00:10:58:272,120011442,186880533,165942,85999,1350624,0,1,0,5
3,00:10:58:272,44318,34749,37,166,2008,0,2,98,0
1,00:10:58:472,120011140,193904596,166009,83973,1293820,0,1,0,2
2,00:10:58:472,120011268,181334732,331607,102723,1828657,0,1,0,2
3,00:10:58:472,62432,42039,80,156,3216,0,2,98,0
1,00:10:58:673,120011444,196646712,83500,95124,1039675,0,1,0,7
2,00:10:58:673,120011445,163604110,166122,79030,1535597,0,1,0,5
3,00:10:58:673,13703,16424,21,26,212,0,2,98,0
1,00:10:58:873,120011637,173022182,330202,86168,1945463,0,1,0,5
2,00:10:58:873,120010874,200325362,786,101655,731949,0,1,0,2
3,00:10:58:873,48848,33861,56,127,2046,0,2,99,0
1,00:10:59:074,120011407,222008840,329596,88585,1615898,0,1,0,5
2,00:10:59:074,120011178,180949460,82877,86376,1158082,0,1,0,5
3,00:10:59:074,13055,16420,18,27,194,0,2,98,0
1,00:10:59:274,120011317,210811115,165730,89440,1174968,0,1,0,2
2,00:10:59:274,120011249,203047721,330282,90674,1706263,0,1,0,2
3,00:10:59:274,11636,16425,2,22,42,0,2,98,0
1,00:10:59:474,120010901,205015094,235,63248,672124,0,1,0,2
2,00:10:59:474,120011257,209235304,178,44344,576879,0,1,0,2
3,00:10:59:474,36503,29183,42,96,1533,0,2,99,0
1,00:10:59:675,120010815,265002022,13,279,161,0,1,0,2
2,00:10:59:675,120010966,264999221,24,275,1400,0,1,0,2
3,00:10:59:675,115230107,54257116,1279433,557733,5496716,0,2,99,0
1,00:10:59:875,120010048,264625240,0,259,30,0,1,0,2
2,00:10:59:875,120010393,264598793,4,281,1305,0,1,0,2
3,00:10:59:875,120012525,101420084,870962,510628,3647606,0,2,99,0
1,00:11:00:076,120009978,265147262,0,278,50,0,1,0,2
2,00:11:00:076,120010116,265147194,3,269,1297,0,1,0,2
3,00:11:00:076,120012347,109736960,4281,17960,1532807,0,2,99,0
1,00:11:00:276,120009970,265147109,0,276,42,0,1,0,2
2,00:11:00:276,120010010,265138582,4,264,1302,0,1,0,2
3,00:11:00:276,120011597,109877442,504,16535,1522890,0,2,99,0
1,00:11:00:477,120009979,265153825,0,299,43,0,1,0,2
2,00:11:00:477,120010244,265138336,0,276,1296,0,1,0,2
3,00:11:00:477,120010992,109905247,237,16342,1521612,0,2,99,0
1,00:11:00:677,120009836,265146617,0,289,42,0,1,0,2
2,00:11:00:677,120010072,265146929,0,261,1277,0,1,0,2
3,00:11:00:677,120010915,109898536,250,16370,1521436,0,2,98,0
1,00:11:00:877,120009862,265133920,0,283,38,0,1,0,2
2,00:11:00:877,120010018,265118352,4,264,1288,0,1,0,2
3,00:11:00:877,120011431,105233934,112955,55619,1808562,0,2,98,5
1,00:11:01:078,120009758,265149151,0,259,45,0,1,0,2
2,00:11:01:078,120010050,265148032,3,265,1285,0,1,0,2
3,00:11:01:078,114441073,216584196,62235,223869,1150666,0,2,99,5
1,00:11:01:278,120009941,265148832,0,255,39,0,1,0,2
2,00:11:01:278,120009999,265140021,0,270,1283,0,1,0,2
3,00:11:01:278,113567904,221303907,67,204761,952725,0,2,98,5
1,00:11:01:479,120009975,265156061,0,286,25,0,1,0,2
2,00:11:01:479,120010013,265140740,0,253,1282,0,1,0,2
3,00:11:01:479,113408458,220868003,644,205458,958619,0,1,42,5
1,00:11:01:679,120009748,265148560,0,262,25,0,1,0,2
2,00:11:01:679,120009950,265147293,0,260,1278,0,1,0,2
3,00:11:01:679,113788502,221612679,301,206492,969274,0,1,0,5
1,00:11:01:880,120009788,265156691,0,261,33,0,1,0,2
2,00:11:01:880,120010013,265140531,0,255,1292,0,1,0,2
3,00:11:01:880,113782634,221696138,55,205898,964197,0,1,0,5
1,00:11:02:080,120009717,265148760,0,268,33,0,1,0,2
2,00:11:02:080,120009930,265148697,1,250,1283,0,1,0,2
3,00:11:02:080,113783355,221642541,191,206232,966677,0,1,0,5
1,00:11:02:280,120009575,265149057,0,250,37,0,1,0,2
2,00:11:02:280,120009876,265139936,3,261,1297,0,1,0,2
3,00:11:02:280,113784144,221620169,407,206203,967699,0,1,0,5
1,00:11:02:481,120009689,265156442,0,273,37,0,1,0,2
2,00:11:02:481,120009971,265139451,0,272,1295,0,1,0,2
3,00:11:02:481,113651504,221404373,87,205841,965616,0,1,0,5
1,00:11:02:681,120009552,265149137,0,265,27,0,1,0,2
2,00:11:02:681,120009906,265147585,0,260,1284,0,1,0,2
3,00:11:02:681,113304752,220820134,106,201372,948064,0,1,0,5
1,00:11:02:882,120009612,265156430,0,271,30,0,1,0,2
2,00:11:02:882,120009957,265140359,0,252,1290,0,1,0,2
